Phân loại xong 184 doc, bỏ qua 0 (đã phân loại/parse lỗi), bỏ qua 0 (bản trùng, dedup lọc trước khi tốn LLM)
--- Dedup (chạy trước classify) ---
Dedup xong: 0 cặp trùng (đã đánh dấu), 3354 khác nhau, 6 chờ người (/dedup), 0 cặp bỏ qua.
doc#112 ↔ doc#115 [JACCARD_TITLE] NEEDS_REVIEW — Cùng sự kiện nhưng CÙNG tier nguồn và không phân định được thời gian — flag reviewer (rule: không tự quyết).
doc#122 ↔ doc#123 [JACCARD_TITLE] NEEDS_REVIEW — Cùng sự kiện nhưng CÙNG tier nguồn và không phân định được thời gian — flag reviewer (rule: không tự quyết).
doc#124 ↔ doc#128 [LLM_PAIRWISE] NEEDS_REVIEW — Cùng sự kiện nhưng CÙNG tier nguồn và không phân định được thời gian — flag reviewer (rule: không tự quyết).
doc#126 ↔ doc#128 [LLM_PAIRWISE] NEEDS_REVIEW — Cùng sự kiện nhưng CÙNG tier nguồn và không phân định được thời gian — flag reviewer (rule: không tự quyết).
doc#127 ↔ doc#128 [LLM_PAIRWISE] NEEDS_REVIEW — Cùng sự kiện nhưng CÙNG tier nguồn và không phân định được thời gian — flag reviewer (rule: không tự quyết).
doc#177 ↔ doc#184 [EXACT_URL] NEEDS_REVIEW — Cùng sự kiện nhưng CÙNG tier nguồn và không phân định được thời gian — flag reviewer (rule: không tự quyết).
---
doc#1: CONFIRMED [PRODUCT_LAUNCH, PRODUCT_REGULATION] → ROUTED [PRODUCT, SALES]
doc#2: CONFIRMED [FEE_BENEFIT_COMMISSION_CHANGE] → ROUTED [PRODUCT, SALES]
doc#3: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#4: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#5: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#6: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#7: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#8: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#9: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#10: CONFIRMED [DISTRIBUTION_CHANNEL] → ROUTED [SALES]
doc#11: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#12: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#13: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#14: CONFIRMED [FEE_BENEFIT_COMMISSION_CHANGE] → ROUTED [PRODUCT, SALES]
doc#15: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#16: CONFIRMED [FEE_BENEFIT_COMMISSION_CHANGE] → ROUTED [PRODUCT, SALES]
doc#17: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#18: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#19: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#20: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#21: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#22: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#23: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#24: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#25: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#26: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#27: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#28: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#29: CONFIRMED [SALES_DATA] → ROUTED [SALES]
doc#30: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#31: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#32: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#33: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#34: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#35: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#36: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#37: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#38: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#39: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#40: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#41: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#42: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#43: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#44: CONFIRMED [PRODUCT_REGULATION] → ROUTED [PRODUCT]
doc#45: CONFIRMED [PRODUCT_REGULATION] → ROUTED [PRODUCT]
doc#46: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#47: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#48: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#49: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#50: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#51: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#52: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#53: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#54: CONFIRMED [PRODUCT_REGULATION] → ROUTED [PRODUCT]
doc#55: CONFIRMED [PRODUCT_REGULATION] → ROUTED [PRODUCT]
doc#56: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#57: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#58: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#59: CONFIRMED [PRODUCT_REGULATION] → ROUTED [PRODUCT]
